UID          PID    PPID  C STIME TTY          TIME CMD
root         128       2  0 13:07 ?        00:00:00 [cpuhp/19]
root         129       2  0 13:07 ?        00:00:00 [idle_inject/19]
root         130       2  0 13:07 ?        00:00:01 [migration/19]
root         131       2  0 13:07 ?        00:00:00 [ksoftirqd/19]
root         133       2  0 13:07 ?        00:00:00 [kworker/19:0H-events_highpri]
root         134       2  0 13:07 ?        00:00:00 [cpuhp/20]
root         135       2  0 13:07 ?        00:00:00 [idle_inject/20]
root         136       2  0 13:07 ?        00:00:01 [migration/20]
root         137       2  0 13:07 ?        00:00:00 [ksoftirqd/20]
root         139       2  0 13:07 ?        00:00:00 [kworker/20:0H-events_highpri]
root         140       2  0 13:07 ?        00:00:00 [cpuhp/21]
root         141       2  0 13:07 ?        00:00:00 [idle_inject/21]
root         142       2  0 13:07 ?        00:00:01 [migration/21]
root         143       2  0 13:07 ?        00:00:00 [ksoftirqd/21]
root         145       2  0 13:07 ?        00:00:00 [kworker/21:0H]
root         146       2  0 13:07 ?        00:00:00 [cpuhp/22]
root         147       2  0 13:07 ?        00:00:00 [idle_inject/22]
root         148       2  0 13:07 ?        00:00:01 [migration/22]
root         149       2  0 13:07 ?        00:00:00 [ksoftirqd/22]
root         151       2  0 13:07 ?        00:00:00 [kworker/22:0H-events_highpri]
root         152       2  0 13:07 ?        00:00:00 [cpuhp/23]
root         153       2  0 13:07 ?        00:00:00 [idle_inject/23]
root         154       2  0 13:07 ?        00:00:01 [migration/23]
root         155       2  0 13:07 ?        00:00:00 [ksoftirqd/23]
root         157       2  0 13:07 ?        00:00:00 [kworker/23:0H-kblockd]
root         158       2  0 13:07 ?        00:00:00 [cpuhp/24]
root         159       2  0 13:07 ?        00:00:00 [idle_inject/24]
root         160       2  0 13:07 ?        00:00:01 [migration/24]
root         161       2  0 13:07 ?        00:00:00 [ksoftirqd/24]
root         163       2  0 13:07 ?        00:00:00 [kworker/24:0H-events_highpri]
root         165       2  0 13:07 ?        00:00:00 [cpuhp/25]
root         166       2  0 13:07 ?        00:00:00 [idle_inject/25]
root         167       2  0 13:07 ?        00:00:01 [migration/25]
root         168       2  0 13:07 ?        00:00:00 [ksoftirqd/25]
root         170       2  0 13:07 ?        00:00:00 [kworker/25:0H-events_highpri]
root         171       2  0 13:07 ?        00:00:00 [cpuhp/26]
root         172       2  0 13:07 ?        00:00:00 [idle_inject/26]
root         173       2  0 13:07 ?        00:00:01 [migration/26]
root         174       2  0 13:07 ?        00:00:00 [ksoftirqd/26]
root         176       2  0 13:07 ?        00:00:00 [kworker/26:0H-kblockd]
root         177       2  0 13:07 ?        00:00:00 [cpuhp/27]
root         178       2  0 13:07 ?        00:00:00 [idle_inject/27]
root         179       2  0 13:07 ?        00:00:01 [migration/27]
root         180       2  0 13:07 ?        00:00:00 [ksoftirqd/27]
root         182       2  0 13:07 ?        00:00:00 [kworker/27:0H-events_highpri]
root         183       2  0 13:07 ?        00:00:00 [cpuhp/28]
root         184       2  0 13:07 ?        00:00:00 [idle_inject/28]
root         185       2  0 13:07 ?        00:00:01 [migration/28]
root         186       2  0 13:07 ?        00:00:00 [ksoftirqd/28]
root         188       2  0 13:07 ?        00:00:00 [kworker/28:0H-events_highpri]
root         189       2  0 13:07 ?        00:00:00 [cpuhp/29]
root         190       2  0 13:07 ?        00:00:00 [idle_inject/29]
root         191       2  0 13:07 ?        00:00:01 [migration/29]
root         192       2  0 13:07 ?        00:00:00 [ksoftirqd/29]
root         194       2  0 13:07 ?        00:00:00 [kworker/29:0H-kblockd]
root         195       2  0 13:07 ?        00:00:00 [cpuhp/30]
root         196       2  0 13:07 ?        00:00:00 [idle_inject/30]
root         197       2  0 13:07 ?        00:00:01 [migration/30]
root         198       2  0 13:07 ?        00:00:00 [ksoftirqd/30]
root         200       2  0 13:07 ?        00:00:00 [kworker/30:0H-events_highpri]
root         201       2  0 13:07 ?        00:00:00 [cpuhp/31]
root         202       2  0 13:07 ?        00:00:00 [idle_inject/31]
root         203       2  0 13:07 ?        00:00:01 [migration/31]
root         204       2  0 13:07 ?        00:00:00 [ksoftirqd/31]
root         206       2  0 13:07 ?        00:00:00 [kworker/31:0H-kblockd]
root         207       2  0 13:07 ?        00:00:00 [cpuhp/32]
root         208       2  0 13:07 ?        00:00:00 [idle_inject/32]
root         209       2  0 13:07 ?        00:00:01 [migration/32]
root         210       2  0 13:07 ?        00:00:00 [ksoftirqd/32]
root         212       2  0 13:07 ?        00:00:00 [kworker/32:0H-events_highpri]
root         213       2  0 13:07 ?        00:00:00 [cpuhp/33]
root         214       2  0 13:07 ?        00:00:00 [idle_inject/33]
root         215       2  0 13:07 ?        00:00:01 [migration/33]
root         216       2  0 13:07 ?        00:00:00 [ksoftirqd/33]
root         218       2  0 13:07 ?        00:00:00 [kworker/33:0H-events_highpri]
root         219       2  0 13:07 ?        00:00:00 [cpuhp/34]
root         220       2  0 13:07 ?        00:00:00 [idle_inject/34]
root         221       2  0 13:07 ?        00:00:01 [migration/34]
root         222       2  0 13:07 ?        00:00:00 [ksoftirqd/34]
root         224       2  0 13:07 ?        00:00:00 [kworker/34:0H-kblockd]
root         225       2  0 13:07 ?        00:00:00 [cpuhp/35]
root         226       2  0 13:07 ?        00:00:00 [idle_inject/35]
root         227       2  0 13:07 ?        00:00:01 [migration/35]
